column,row,id,common_crops
1,1,1,
1,2,2,
1,3,3,
1,4,4,
1,5,5,
1,6,6,
1,7,7,
1,8,8,
1,9,9,
1,10,10,
1,11,11,
1,12,12,
1,13,13,
1,14,14,
1,15,15,
1,16,16,
1,17,17,
1,18,18,
1,19,19,
1,20,20,
1,21,21,
1,22,22,
1,23,23,
1,24,24,
1,25,25,
1,26,26,
1,27,27,
1,28,28,
1,29,29,
1,30,30,
1,31,31,
1,32,32,
1,33,33,
1,34,34,
1,35,35,
2,1,36,
2,2,37,
2,3,38,
2,4,39,
2,5,40,
2,6,41,
2,7,42,
2,8,43,
2,9,44,
2,10,45,
2,11,46,
2,12,47,
2,13,48,
2,14,49,
2,15,50,
2,16,51,
2,17,52,
2,18,53,
2,19,54,
2,20,55,
2,21,56,
2,22,57,
2,23,58,
2,24,59,
2,25,60,
2,26,61,
2,27,62,
2,28,63,
2,29,64,
2,30,65,
2,31,66,
2,32,67,
2,33,68,
2,34,69,
2,35,70,
3,1,71,
3,2,72,
3,3,73,
3,4,74,
3,5,75,
3,6,76,
3,7,77,
3,8,78,
3,9,79,
3,10,80,
3,11,81,
3,12,82,
3,13,83,
3,14,84,
3,15,85,
3,16,86,
3,17,87,
3,18,88,
3,19,89,
3,20,90,
3,21,91,
3,22,92,
3,23,93,
3,24,94,
3,25,95,
3,26,96,
3,27,97,
3,28,98,
3,29,99,
3,30,100,
3,31,101,
3,32,102,
3,33,103,
3,34,104,
3,35,105,
4,1,106,
4,2,107,
4,3,108,
4,4,109,
4,5,110,
4,6,111,
4,7,112,
4,8,113,
4,9,114,
4,10,115,
4,11,116,
4,12,117,
4,13,118,
4,14,119,
4,15,120,
4,16,121,
4,17,122,
4,18,123,
4,19,124,
4,20,125,
4,21,126,
4,22,127,
4,23,128,
4,24,129,
4,25,130,
4,26,131,
4,27,132,
4,28,133,
4,29,134,
4,30,135,
4,31,136,
4,32,137,
4,33,138,
4,34,139,
4,35,140,
5,1,141,
5,2,142,
5,3,143,
5,4,144,
5,5,145,
5,6,146,
5,7,147,
5,8,148,
5,9,149,
5,10,150,
5,11,151,
5,12,152,
5,13,153,
5,14,154,
5,15,155,
5,16,156,
5,17,157,
5,18,158,
5,19,159,
5,20,160,
5,21,161,
5,22,162,
5,23,163,
5,24,164,
5,25,165,
5,26,166,
5,27,167,
5,28,168,
5,29,169,
5,30,170,
5,31,171,
5,32,172,
5,33,173,
5,34,174,
5,35,175,
6,1,176,
6,2,177,
6,3,178,
6,4,179,
6,5,180,
6,6,181,
6,7,182,
6,8,183,
6,9,184,
6,10,185,
6,11,186,
6,12,187,
6,13,188,
6,14,189,
6,15,190,
6,16,191,
6,17,192,
6,18,193,
6,19,194,
6,20,195,
6,21,196,
6,22,197,
6,23,198,
6,24,199,
6,25,200,
6,26,201,
6,27,202,
6,28,203,
6,29,204,
6,30,205,
6,31,206,
6,32,207,
6,33,208,
6,34,209,
6,35,210,
7,1,211,
7,2,212,
7,3,213,
7,4,214,
7,5,215,
7,6,216,
7,7,217,
7,8,218,
7,9,219,
7,10,220,
7,11,221,
7,12,222,
7,13,223,
7,14,224,
7,15,225,
7,16,226,
7,17,227,
7,18,228,
7,19,229,
7,20,230,
7,21,231,
7,22,232,
7,23,233,
7,24,234,
7,25,235,
7,26,236,
7,27,237,
7,28,238,
7,29,239,
7,30,240,
7,31,241,
7,32,242,
7,33,243,
7,34,244,
7,35,245,
8,1,246,
8,2,247,
8,3,248,
8,4,249,
8,5,250,
8,6,251,
8,7,252,
8,8,253,
8,9,254,
8,10,255,
8,11,256,
8,12,257,
8,13,258,
8,14,259,
8,15,260,
8,16,261,
8,17,262,
8,18,263,
8,19,264,
8,20,265,
8,21,266,
8,22,267,
8,23,268,
8,24,269,
8,25,270,
8,26,271,
8,27,272,
8,28,273,
8,29,274,
8,30,275,
8,31,276,
8,32,277,
8,33,278,
8,34,279,
8,35,280,
9,1,281,
9,2,282,
9,3,283,
9,4,284,
9,5,285,
9,6,286,
9,7,287,
9,8,288,
9,9,289,
9,10,290,
9,11,291,
9,12,292,
9,13,293,
9,14,294,
9,15,295,
9,16,296,
9,17,297,
9,18,298,
9,19,299,
9,20,300,
9,21,301,"banana, mustard"
9,22,302,"banana, mustard"
9,23,303,"banana, mustard"
9,24,304,"banana, mustard"
9,25,305,banana
9,26,306,
9,27,307,
9,28,308,
9,29,309,mustard
9,30,310,
9,31,311,
9,32,312,
9,33,313,
9,34,314,
9,35,315,
10,1,316,
10,2,317,
10,3,318,
10,4,319,
10,5,320,
10,6,321,
10,7,322,
10,8,323,
10,9,324,
10,10,325,
10,11,326,
10,12,327,
10,13,328,
10,14,329,
10,15,330,
10,16,331,
10,17,332,
10,18,333,
10,19,334,
10,20,335,
10,21,336,garlic
10,22,337,"banana, garlic, onion"
10,23,338,"banana, mustard"
10,24,339,"banana, mustard"
10,25,340,banana
10,26,341,
10,27,342,
10,28,343,
10,29,344,"cabbage, cauliflower, garlic, lentil"
10,30,345,mustard
10,31,346,
10,32,347,
10,33,348,
10,34,349,
10,35,350,
11,1,351,
11,2,352,
11,3,353,
11,4,354,
11,5,355,
11,6,356,
11,7,357,
11,8,358,
11,9,359,
11,10,360,
11,11,361,
11,12,362,
11,13,363,
11,14,364,
11,15,365,
11,16,366,
11,17,367,
11,18,368,
11,19,369,
11,20,370,
11,21,371,"banana, mustard"
11,22,372,"banana, mustard"
11,23,373,"banana, mustard"
11,24,374,"banana, mustard"
11,25,375,mustard
11,26,376,
11,27,377,
11,28,378,"banana, chickpea, lentil"
11,29,379,"cabbage, cauliflower, garlic, lentil"
11,30,380,"cabbage, cauliflower, garlic, lentil"
11,31,381,"lentil, blackgram, chickpea"
11,32,382,chickpea
11,33,383,
11,34,384,
11,35,385,
12,1,386,
12,2,387,
12,3,388,
12,4,389,
12,5,390,
12,6,391,
12,7,392,
12,8,393,
12,9,394,
12,10,395,
12,11,396,
12,12,397,
12,13,398,
12,14,399,
12,15,400,
12,16,401,
12,17,402,
12,18,403,
12,19,404,"banana, mustard"
12,20,405,"banana, mustard"
12,21,406,"banana, mustard"
12,22,407,mustard
12,23,408,mustard
12,24,409,"banana, mustard"
12,25,410,"banana, mustard"
12,26,411,"banana, mustard"
12,27,412,"cabbage, cauliflower, garlic, lentil"
12,28,413,"cabbage, cauliflower, garlic, lentil"
12,29,414,"cabbage, cauliflower, garlic, lentil"
12,30,415,"cabbage, cauliflower, garlic, lentil"
12,31,416,"lentil, blackgram, chickpea"
12,32,417,mustard
12,33,418,
12,34,419,
12,35,420,
13,1,421,
13,2,422,
13,3,423,
13,4,424,
13,5,425,
13,6,426,
13,7,427,
13,8,428,
13,9,429,
13,10,430,
13,11,431,
13,12,432,
13,13,433,
13,14,434,
13,15,435,
13,16,436,
13,17,437,
13,18,438,"cabbage, cauliflower, garlic, lentil"
13,19,439,"banana, mustard"
13,20,440,"banana, mustard"
13,21,441,"banana, mustard"
13,22,442,"banana, garlic, onion"
13,23,443,"banana, mustard"
13,24,444,"banana, mustard"
13,25,445,"banana, mustard"
13,26,446,"banana, mustard"
13,27,447,"banana, mustard"
